id,name,season,number,type,airdate,airtime,airstamp,runtime,rating,show_id
2730586,Серия 1,2,1.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,23.0,,51908
2730587,Серия 2,2,2.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,20.0,,51908
2730588,Серия 3,2,3.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,19.0,,51908
2730589,Серия 4,2,4.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,21.0,,51908
2730590,Серия 5,2,5.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,20.0,,51908
2730591,Серия 6,2,6.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,20.0,,51908
2730592,Серия 7,2,7.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,20.0,,51908
2730593,Серия 8,2,8.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,19.0,,51908
2730594,Серия 9,2,9.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,18.0,,51908
2730595,Серия 10,2,10.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,19.0,,51908
2718792,Серия 21,3,1.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,25.0,,59205
2719121,Серия 22,3,2.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,25.0,,59205
2718220,Серия 8,3,8.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,20.0,,59484
2692646,Серия 1,1,1.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692647,Серия 2,1,2.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692648,Серия 3,1,3.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692649,Серия 4,1,4.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692650,Серия 5,1,5.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692651,Серия 6,1,6.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692652,Серия 7,1,7.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692653,Серия 8,1,8.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692654,Серия 9,1,9.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692655,Серия 10,1,10.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692656,Серия 11,1,11.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2692657,Серия 12,1,12.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,72871
2712914,Серия 1,1,1.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,73221
2712915,Серия 2,1,2.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,73221
2712916,Серия 3,1,3.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,73221
2712917,Серия 4,1,4.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,73221
2712918,Серия 5,1,5.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,73221
2712919,Серия 6,1,6.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,73221
2712920,Серия 7,1,7.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,73221
2712921,Серия 8,1,8.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,,,73221
2719575,Серия 1,1,1.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,24.0,,73590
2730942,Серия 2,1,2.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,28.0,,73590
2743350,Екатерина,1,1.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,41.0,,73893
2743351,Анна,1,2.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,42.0,,73893
2743352,Переворот,1,3.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,37.0,,73893
2743353,Елизавета,1,4.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,43.0,,73893
2743354,Триумф,1,5.0,regular,2024-01-01,,2024-01-01T00:00:00+00:00,33.0,,73893
2732794,Sucked In,1,1.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,22.0,,73780
2732795,Countdown,1,2.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,22.0,,73780
2732796,It Came From The Bog,1,3.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,22.0,,73780
2732797,The Truth Is Really Out There,1,4.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,21.0,,73780
2732798,Take Over,1,5.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,22.0,,73780
2732799,Double the Trouble,1,6.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,23.0,,73780
2732800,Hair Raiser,1,7.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,22.0,,73780
2732801,Space Zits,1,8.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,21.0,,73780
2732802,Zborked,1,9.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,22.0,,73780
2732803,The Void,1,10.0,regular,2024-01-01,,2024-01-01T01:00:00+00:00,23.0,,73780
2696937,Episode 340,1,340.0,regular,2024-01-01,10:00,2024-01-01T02:00:00+00:00,10.0,,55019
2723022,Episode 263,1,263.0,regular,2024-01-01,10:00,2024-01-01T02:00:00+00:00,,,62143
2729492,Episode 209,5,13.0,regular,2024-01-01,10:00,2024-01-01T02:00:00+00:00,10.0,,63068
2659603,National War,1,17.0,regular,2024-01-01,10:00,2024-01-01T02:00:00+00:00,,,71544
2723464,Episode 13,1,13.0,regular,2024-01-01,10:00,2024-01-01T02:00:00+00:00,15.0,,73661
2723465,Episode 14,1,14.0,regular,2024-01-01,10:00,2024-01-01T02:00:00+00:00,15.0,,73661
