id,url,name,type,language,genres,status,runtime,averageRuntime,premiered,ended,officialSite,schedule_time,schedule_days,rating,weight,summary,webChannel_name,webChannel_site,dvd_country,externals_tvrage,externals_thetvdb,externals_imdb,updated
51908,https://www.tvmaze.com/shows/51908/neznost,Нежность,Scripted,Russian,"['Drama', 'Comedy', 'Romance']",Ended,,19.0,2020-11-12,2024-01-01,https://www.ivi.ru/watch/nezhnost,,,,11,,Иви,https://www.ivi.ru/,,,,,1704215354
59205,https://www.tvmaze.com/shows/59205/predposlednaa-instancia,Предпоследняя инстанция,Scripted,Russian,"['Drama', 'Comedy', 'Supernatural']",Ended,,26.0,2022-01-01,2024-01-08,https://okko.tv/serial/predposlednjaja-instancija,,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']",,29,,Okko,,,,,,1704783571
59484,https://www.tvmaze.com/shows/59484/manuna,Манюня,Scripted,Russian,"['Comedy', 'Adventure', 'Children']",Running,,20.0,2021-12-15,,https://okko.tv/serial/manjunja,,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']",6.3,31,,Okko,,,,413379.0,,1703404987
72871,https://www.tvmaze.com/shows/72871/nedetskoe-kino,Недетское кино,Scripted,,"['Comedy', 'Fantasy']",Running,,,2024-01-01,,https://wink.ru/series/ne-detskoe-kino-year-2023?ysclid=lpbaiai0cw654763598,,,,3,,Wink,,,,,,1704019326
73221,https://www.tvmaze.com/shows/73221/uspesnyj,Успешный,Scripted,Russian,['Comedy'],Running,,,2024-01-01,,https://kion.ru/video/serial/822094895/season/822095042/episode/822094715,,,,6,"<p>30-year-old Sasha is a serial loser trying with all his might to become a successful business coach. Fate leads him to billionaire Oleg Kalugin, who decides to hire the resilient dreamer as a coach. However, Kalugin does not need advice on business, which the guy knows nothing about, but the secret of his ability to sincerely enjoy life despite poverty and other problems. From this moment, drastic changes begin in Sasha's life, which show the real price of success. Step by step, he moves further and further away from happiness, plunging into the world of deception, betrayal, hatred and really big, but dirty money.</p>",KION,https://kion.ru/,,,,,1735808422
73590,https://www.tvmaze.com/shows/73590/kak-druza-zahara-zenili,Как друзья Захара женили,Scripted,,['Comedy'],Ended,,26.0,2024-01-01,2024-02-06,,,,,16,,Okko,,,,,,1707351592
73893,https://www.tvmaze.com/shows/73893/imperatricy,Императрицы,Documentary,,"['Drama', 'History']",Ended,,39.0,2024-01-01,2024-01-01,https://premier.one/show/imperatritsy-mini-serial,,,,3,,Premier,https://premier.one/,,,,,1705416247
73780,https://www.tvmaze.com/shows/73780/planet-lulin,Planet Lulin,Scripted,English,"['Children', 'Fantasy', 'Science-Fiction']",To Be Determined,,22.0,2024-01-01,,https://iview.abc.net.au/show/planet-lulin,,,,27,"<p>Lulin wasn't expecting to develop alien powers, or intergalactic invaders to crash her school science comp, but hey, Year 6 is full of surprises!</p>",ABC iview,https://iview.abc.net.au/,,,444536.0,,1705107854
55019,https://www.tvmaze.com/shows/55019/supreme-god-emperor,Supreme God Emperor,Animation,Chinese,"['Adventure', 'Anime', 'Fantasy']",Running,10.0,10.0,2020-05-18,,https://v.qq.com/x/search/?q=无上神帝&stag=&smartbox_ab=,10:00,"['Monday', 'Friday']",,49,"<p>Ten thousand years ago, Muyun's fairy King was secretly accounted for by holding a Zhuxian figure, and after a long sleep, he awakened in the famous ""Muyun waste"" of the southern Yun Empire in the Land of Heaven. When Muyun first woke up, he was deliberately bothered by the student Miaoxianyu. Muyun easily completed the Miaoxianyu trap, and he gave more and more alchemy skills by analogy, so the Alchemy masters outside the door could not ask for appreciation. Endless back home, Mu Yun learns that he is about to marry Nona Qin Qin Mengyao. Qin Mengyao was cold and toxic, but could not live until he was 20 years old. The marriage was only for the sake of pastoralists and family of Qin. However, under Mu Linchen's enticement, Mu Yun approves the family's issue on the condition of alchemy.</p><p><br /> </p>",Tencent QQ,https://v.qq.com/,,,388383.0,tt20603062,1732535501
62143,https://www.tvmaze.com/shows/62143/against-the-sky-supreme,Against the Sky Supreme,Animation,Chinese,"['Action', 'Adventure', 'Anime', 'Fantasy']",Running,,7.0,2021-07-09,,https://v.qq.com/x/cover/mzc00200azkttu2.html,10:00,"['Monday', 'Friday']",7.8,82,"<p>The former mighty Gods of the heavens, after ten thousand lifetimes of reincarnation tragically destroyed! The cruel curse, the hatred of ten thousand lives, Tan Yun determined, no longer sink! The most important thing is that you have to be able to get to the top of the world, step by step, stepping on the corpses of your enemies! To kill against the sky, across all the worlds, only I am the supreme!</p>",Tencent QQ,https://v.qq.com/,,,406729.0,tt15816496,1738619115
63068,https://www.tvmaze.com/shows/63068/jiu-tian-xuan-di-jue,Jiu Tian Xuan Di Jue,Animation,Chinese,"['Action', 'Anime', 'Fantasy']",Running,10.0,10.0,2021-08-20,,https://v.youku.com/v_nextstage/id_efcf7daa538f412e803d.html?spm=a2h0c.8166622.PhoneSokuProgram_1.dtitle,10:00,"['Monday', 'Friday']",,57,"<p>Of all the races in the world only 3 stand at the top. Each race possesses a master of the martial arts, a Golden Martial God. The balance of power appears to be shifting after Wang Fan's brother is killed triggering a chain of events that will begin to turn the world upside down. Disguising himself as the Silver Tiger King, Wang Fan becomes a symbol of power and the hope of the human race.<br />Some days Wang Fan is a boy genius that tries to blend in as a smart but helpless student. Other days he becomes a powerful tiger. Every race has their eyes on the Silver Tiger King as he continues to surpass every precedent and excel far beyond his peers all while under the guise of an unassuming student.</p>",Youku,,,,409158.0,tt19756810,1712485118
71544,https://www.tvmaze.com/shows/71544/xian-ni,Xian Ni,Animation,Chinese,"['Drama', 'Action', 'Fantasy']",Running,,,2023-09-25,,https://v.qq.com/x/cover/mzc00200aaogpgh.html,10:00,['Monday'],,78,,Tencent QQ,https://v.qq.com/,,,433335.0,tt27432264,1732603771
73661,https://www.tvmaze.com/shows/73661/you-cant-hide-your-heart,You Can't Hide Your Heart,Scripted,Chinese,['Romance'],Ended,,15.0,2023-12-27,2024-01-06,https://v.youku.com/v_show/id_XNjI0NDUwOTAwOA==.html?spm=a2h0c.8166622.PhoneSokuProgram_1.dtitle&s=ccad226d231a4184b735,10:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']",,8,"<p>The governor Murong Zang originally wanted to train his enemy's daughter Yunjiao to become his trump card against his enemies, but he gradually fell in love with her day and night and couldn't help but fall in love with her, thus falling into a struggle between love and hate.</p>",Youku,,,,442384.0,,1704530943
